"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/13 2:38:53 PM UTC+2","2","8","8","8","Informatique (ISTIC)","L1"
"2019/01/13 2:53:32 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 3:07:04 PM UTC+2","7","9","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 3:15:00 PM UTC+2","9","10","10","8","Mathématiques","L1"
"2019/01/13 3:18:29 PM UTC+2","1","1","1","1","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/13 3:20:44 PM UTC+2","8","9","9","9","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 3:35:39 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 3:37:28 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 3:37:58 PM UTC+2","7","10","10","8","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 3:41:09 PM UTC+2","3","6","6","4","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 3:41:40 PM UTC+2","9","10","10","10","Informatique (ISTIC)","M1"
"2019/01/13 3:43:26 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 3:53:34 PM UTC+2","8","8","8","8","Science et Propriété de la Matière (SPM)","M1"
"2019/01/13 3:55:44 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 3:56:48 PM UTC+2","6","9","10","8","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 4:11:28 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 4:26:24 PM UTC+2","8","10","10","9","Informatique (ISTIC)","L3"
"2019/01/13 4:28:39 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L2"
"2019/01/13 4:37:29 PM UTC+2","8","9","10","10","Informatique (ISTIC)","L3"
"2019/01/13 4:40:45 PM UTC+2","8","10","10","6","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/13 4:40:49 PM UTC+2","5","5","9","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 4:47:04 PM UTC+2","5","10","8","5","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 4:47:21 PM UTC+2","10","10","10","10","Informatique (ISTIC);ENS Rennes","L3"
"2019/01/13 4:52:09 PM UTC+2","6","10","9","7","Informatique (ISTIC)","L3"
"2019/01/13 4:52:16 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 4:56:10 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 4:57:42 PM UTC+2","10","10","10","10","OSUR","M2"
"2019/01/13 4:58:15 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 5:01:42 PM UTC+2","8","9","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 5:01:51 PM UTC+2","9","10","10","9","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 5:06:24 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/13 5:08:02 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 5:09:47 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/13 5:18:21 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/13 5:19:37 PM UTC+2","9","10","10","8","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 5:23:02 PM UTC+2","3","3","3","3","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 5:25:43 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 5:26:39 PM UTC+2","4","8","10","8","Osur","L2"
"2019/01/13 5:29:24 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/13 5:36:14 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/13 5:37:14 PM UTC+2","7","9","9","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 5:39:47 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 5:43:08 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 5:44:34 PM UTC+2","1","5","5","1","Mathématiques","L2"
"2019/01/13 5:55:13 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/13 5:58:22 PM UTC+2","6","9","10","9","Informatique (ISTIC)","M2"
"2019/01/13 5:59:35 PM UTC+2","7","10","10","5","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 6:02:49 PM UTC+2","1","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 6:04:47 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 6:04:59 PM UTC+2","9","9","9","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 6:10:43 PM UTC+2","10","10","10","9","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 6:21:58 PM UTC+2","1","1","6","5","Philosophie","L2"
"2019/01/13 6:23:49 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/13 6:24:04 PM UTC+2","7","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 6:28:09 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 6:32:55 PM UTC+2","9","9","9","9","Informatique (ISTIC)","M1"
"2019/01/13 6:33:02 PM UTC+2","8","9","9","9","Mathématiques","L1"
"2019/01/13 6:39:54 PM UTC+2","8","9","9","8","Mathématiques","L2"
"2019/01/13 6:43:14 PM UTC+2","10","10","10","5","Mathématiques","L1"
"2019/01/13 6:47:22 PM UTC+2","3","9","9","7","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 6:51:32 PM UTC+2","10","10","10","1","Philosophie","L3"
"2019/01/13 6:54:33 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 6:55:52 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 6:57:35 PM UTC+2","5","9","4","8","Science et Propriété de la Matière (SPM)","L3"
"2019/01/13 6:57:44 PM UTC+2","9","10","10","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 6:58:18 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/13 6:59:09 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/13 7:02:31 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L2"
"2019/01/13 7:06:47 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/13 7:06:59 PM UTC+2","3","7","7","3","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 7:07:40 PM UTC+2","8","10","10","10","Informatique (ISTIC)","L3"
"2019/01/13 7:08:29 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 7:08:55 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/13 7:09:10 PM UTC+2","7","9","10","8","Science et Propriété de la Matière (SPM)","L3"
"2019/01/13 7:09:52 PM UTC+2","6","8","8","8","Informatique (ISTIC)","L1"
"2019/01/13 7:15:04 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/13 7:16:11 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 7:17:07 PM UTC+2","10","10","10","10","École Nationale Supérieure de Chimie de Rennes  (ENSCR);Science et Propriété de la Matière (SPM)","M1"
"2019/01/13 7:17:59 PM UTC+2","7","10","10","8","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 7:18:26 PM UTC+2","9","10","10","10","Informatique (ISTIC)","M1"
"2019/01/13 7:20:42 PM UTC+2","10","10","10","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 7:22:22 PM UTC+2","8","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 7:24:52 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/13 7:29:58 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 7:30:58 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 7:37:00 PM UTC+2","9","10","10","9","Informatique (ISTIC)","L3"
"2019/01/13 7:37:03 PM UTC+2","8","9","10","8","Science et Propriété de la Matière (SPM)","M2"
"2019/01/13 7:41:36 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 7:42:22 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 7:43:24 PM UTC+2","7","10","9","5","Mathématiques","L1"
"2019/01/13 7:46:43 PM UTC+2","2","3","3","6","Science et Propriété de la Matière (SPM)","L3"
"2019/01/13 7:52:39 PM UTC+2","7","9","9","8","Informatique (ISTIC)","M1"
"2019/01/13 7:54:52 PM UTC+2","8","10","10","8","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 7:56:52 PM UTC+2","8","10","10","10","Mathématiques","M1"
"2019/01/13 8:02:04 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/13 8:04:28 PM UTC+2","6","9","8","7","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 8:05:13 PM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/13 8:05:21 PM UTC+2","8","10","10","8","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 8:08:50 PM UTC+2","8","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","L1"
"2019/01/13 8:15:19 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 8:16:00 PM UTC+2","9","10","10","9","Informatique (ISTIC)","L3"
"2019/01/13 8:18:14 PM UTC+2","1","10","1","1","Science et Propriété de la Matière (SPM)","L3"
"2019/01/13 8:19:24 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 8:22:47 PM UTC+2","8","9","9","8","Informatique (ISTIC)","L1"
"2019/01/13 8:26:10 PM UTC+2","3","4","6","3","Informatique (ISTIC)","L3"
"2019/01/13 8:26:18 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 8:27:17 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 8:28:17 PM UTC+2","8","9","9","9","Mathématiques","M1"
"2019/01/13 8:39:51 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/13 8:41:15 PM UTC+2","9","10","10","10","Informatique (ISTIC)","L3"
"2019/01/13 8:41:48 PM UTC+2","10","10","6","6","Informatique (ISTIC)","L1"
"2019/01/13 8:43:01 PM UTC+2","9","10","10","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 8:47:09 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 8:48:21 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/13 8:49:55 PM UTC+2","10","10","10","10","Mathématiques","M1"
"2019/01/13 8:55:48 PM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 8:57:20 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/13 8:58:01 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 9:09:21 PM UTC+2","7","10","10","7","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 9:12:43 PM UTC+2","7","9","10","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 9:13:14 PM UTC+2","6","9","10","8","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 9:20:10 PM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/13 9:22:49 PM UTC+2","2","6","9","7","Mathématiques","L2"
"2019/01/13 9:23:47 PM UTC+2","2","10","10","8","Philosophie","L3"
"2019/01/13 9:31:26 PM UTC+2","8","10","10","8","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 9:36:22 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/13 9:42:00 PM UTC+2","3","5","9","7","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/13 9:43:33 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 9:46:59 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 9:48:28 PM UTC+2","8","10","10","10","Informatique (ISTIC)","L2"
"2019/01/13 9:53:55 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 9:59:00 PM UTC+2","9","10","10","9","École Supérieure d'Ingénieurs de Rennes (ESIR)","L1"
"2019/01/13 10:04:32 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/13 10:04:47 PM UTC+2","7","9","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/13 10:15:00 PM UTC+2","8","10","10","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 10:21:02 PM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/13 10:21:52 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 10:25:18 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 10:31:42 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/13 10:36:20 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/13 10:36:26 PM UTC+2","5","8","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 10:54:20 PM UTC+2","5","8","10","6","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 11:00:56 PM UTC+2","3","9","7","5","Mathématiques","L3"
"2019/01/13 11:02:01 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 11:02:20 PM UTC+2","4","7","8","6","Mathématiques","L2"
"2019/01/13 11:14:44 PM UTC+2","6","9","9","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/13 11:15:07 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 11:18:46 PM UTC+2","6","7","10","10","Informatique (ISTIC)","M1"
"2019/01/13 11:22:46 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 11:22:51 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/13 11:25:13 PM UTC+2","10","10","10","10","osur, géosciences","L3"
"2019/01/13 11:30:31 PM UTC+2","7","10","10","9","École Supérieure d'Ingénieurs de Rennes (ESIR);Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 11:32:49 PM UTC+2","5","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/13 11:38:25 PM UTC+2","8","10","10","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 11:39:50 PM UTC+2","8","9","9","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/13 11:40:59 PM UTC+2","7","7","7","4","Informatique (ISTIC)","L2"
"2019/01/13 11:41:18 PM UTC+2","5","10","10","10","Informatique (ISTIC)","L3"
"2019/01/13 11:45:02 PM UTC+2","9","10","10","8","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/13 11:50:51 PM UTC+2","7","10","10","9","Mathématiques","L2"
"2019/01/13 11:52:29 PM UTC+2","7","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/13 11:55:11 PM UTC+2","4","9","9","6","Informatique (ISTIC)","L3"
"2019/01/13 11:57:11 PM UTC+2","9","10","10","10","Informatique (ISTIC)","L1"
"2019/01/14 12:00:01 AM UTC+2","9","10","10","10","Informatique (ISTIC)","L3"
"2019/01/14 12:02:11 AM UTC+2","10","10","9","8","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 12:09:49 AM UTC+2","7","9","10","8","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 12:10:08 AM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 12:20:49 AM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 12:22:59 AM UTC+2","8","10","10","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 12:26:58 AM UTC+2","2","8","8","6","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 12:27:29 AM UTC+2","4","10","10","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 12:32:19 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 12:42:54 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/14 12:43:12 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 12:49:50 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 12:52:22 AM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 12:52:56 AM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/14 1:01:39 AM UTC+2","10","10","10","10","UCAO(Université Catholique de l'Afrique de l'Ouest) St Michel Dakar(senegal)","L3"
"2019/01/14 1:02:46 AM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 1:04:13 AM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 1:09:49 AM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 1:13:19 AM UTC+2","10","10","10","9","Science et Propriété de la Matière (SPM)","L3"
"2019/01/14 1:36:25 AM UTC+2","4","8","8","6","Informatique (ISTIC);Mathématiques;Philosophie","M1"
"2019/01/14 2:31:39 AM UTC+2","3","9","9","9","Philosophie","L3"
"2019/01/14 2:48:05 AM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Science et Propriété de la Matière (SPM)","L2"
"2019/01/14 2:51:12 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 3:07:07 AM UTC+2","9","10","9","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/14 3:09:15 AM UTC+2","1","1","1","1","École Supérieure d'Ingénieurs de Rennes (ESIR)",""
"2019/01/14 4:01:07 AM UTC+2","8","10","10","8","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 5:44:12 AM UTC+2","8","8","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 8:40:36 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 9:23:23 AM UTC+2","8","9","9","6","Informatique (ISTIC)","L1"
"2019/01/14 9:32:13 AM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 9:44:38 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 9:47:14 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/14 9:49:51 AM UTC+2","7","10","10","8","Mathématiques","M1"
"2019/01/14 10:03:33 AM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/14 10:03:43 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 10:17:54 AM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 10:20:47 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/14 10:24:39 AM UTC+2","8","9","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 10:27:17 AM UTC+2","8","10","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/14 10:28:41 AM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 10:33:18 AM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/14 10:34:18 AM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/14 10:51:09 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 11:05:07 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 11:05:57 AM UTC+2","6","8","10","10","Informatique (ISTIC)","M2"
"2019/01/14 11:07:15 AM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 11:11:33 AM UTC+2","7","10","10","9","Informatique (ISTIC)","L3"
"2019/01/14 11:13:57 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 11:14:40 AM UTC+2","9","9","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/14 11:28:09 AM UTC+2","8","9","10","10","Mathématiques","L2"
"2019/01/14 11:41:45 AM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 11:50:02 AM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 11:50:26 AM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 12:03:37 PM UTC+2","1","1","6","1","Mathématiques","L1"
"2019/01/14 12:10:05 PM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 12:10:21 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/14 12:18:54 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/14 12:22:42 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 12:33:46 PM UTC+2","5","10","10","7","Informatique (ISTIC)","M1"
"2019/01/14 12:45:08 PM UTC+2","9","10","10","9","Science et Propriété de la Matière (SPM)","M2"
"2019/01/14 12:55:55 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/14 1:00:31 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 1:09:31 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/14 1:27:57 PM UTC+2","10","10","10","5","Informatique (ISTIC)","L1"
"2019/01/14 1:33:39 PM UTC+2","7","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 1:46:49 PM UTC+2","1","1","1","1","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 2:02:32 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/14 2:09:12 PM UTC+2","7","10","10","10","OSUR","M2"
"2019/01/14 2:14:19 PM UTC+2","7","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 2:18:54 PM UTC+2","5","6","7","6","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 2:23:48 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 2:27:37 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 2:33:42 PM UTC+2","9","10","10","10","Informatique (ISTIC)","L2"
"2019/01/14 2:34:39 PM UTC+2","9","10","10","10","Mathématiques","L1"
"2019/01/14 2:34:57 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 2:37:22 PM UTC+2","10","10","10","10","Philosophie","L3"
"2019/01/14 2:45:31 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 2:59:55 PM UTC+2","9","10","8","9","Science et Propriété de la Matière (SPM)","L3"
"2019/01/14 3:02:19 PM UTC+2","4","9","9","7","Science et Propriété de la Matière (SPM)","L2"
"2019/01/14 3:07:08 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 3:24:11 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 3:25:39 PM UTC+2","8","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/14 3:46:34 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 3:56:53 PM UTC+2","6","8","10","10","Informatique (ISTIC)","L2"
"2019/01/14 4:04:07 PM UTC+2","1","1","5","5","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 4:13:32 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 4:37:09 PM UTC+2","5","7","9","6","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 4:45:08 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 5:09:55 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","L1"
"2019/01/14 5:24:22 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 5:26:57 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/14 5:29:48 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/14 5:33:48 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 5:35:32 PM UTC+2","8","9","9","9","Informatique (ISTIC)","L2"
"2019/01/14 5:36:04 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/14 6:05:38 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/14 6:08:00 PM UTC+2","7","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/14 6:38:43 PM UTC+2","6","10","10","8","Informatique (ISTIC)","M1"
"2019/01/14 6:55:56 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/14 7:50:43 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 7:52:01 PM UTC+2","9","10","10","7","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/14 7:58:09 PM UTC+2","9","10","10","10","Mathématiques","M1"
"2019/01/14 8:02:22 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/14 8:07:45 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 8:13:50 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/14 8:22:55 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 8:23:52 PM UTC+2","7","9","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 8:36:17 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 8:46:40 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/14 8:58:30 PM UTC+2","2","8","10","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/14 9:03:29 PM UTC+2","9","10","10","10","Mathématiques","L1"
"2019/01/14 9:15:46 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
