"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/11 3:12:46 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L2"
"2019/01/11 3:13:01 PM UTC+2","5","9","10","8","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:13:05 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:13:12 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 3:13:34 PM UTC+2","9","9","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:13:38 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:13:47 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:14:06 PM UTC+2","1","1","1","1","École Nationale Supérieure de Chimie de Rennes  (ENSCR)","L1"
"2019/01/11 3:14:10 PM UTC+2","8","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:14:18 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:14:19 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:14:36 PM UTC+2","3","3","3","2","Informatique (ISTIC)","L3"
"2019/01/11 3:14:41 PM UTC+2","8","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:14:47 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/11 3:14:54 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:14:58 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:15:11 PM UTC+2","7","10","10","8","Informatique (ISTIC)","L2"
"2019/01/11 3:15:24 PM UTC+2","10","10","10","10","OSUR","M1"
"2019/01/11 3:15:54 PM UTC+2","7","9","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:16:07 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:16:12 PM UTC+2","9","9","9","9","Informatique (ISTIC)","L3"
"2019/01/11 3:16:23 PM UTC+2","6","8","9","10","Science et Propriété de la Matière (SPM)","L3"
